date,username,tweet
2022-04-06 05:41:06,Ajuansyah_putra,Apa dia ngerti ? #PemiluSerentak2024 #TolakTegasPenundaanPemilu  #tolakPenundaanPemilu
2022-04-06 04:53:02,wongkhito,#TolakTegasPenundaanPemilu  #tolakPenundaanPemilu
2022-04-05 22:17:43,hadiprayitno82,"Suara Sumbang ancam Konstitusi, Marwah Desa diinjak-injak sendiri oleh para Kepala Desanya.  Warga Desa sebagai pemegang kedaulatan Desa, perlu bersuara.   Sikap mereka yg berpegang teguh pada konstitusi jadi kabar baik bagi masa depan bangsa.  #TolakPenundaanPemilu #tirakat2022"
2022-04-05 20:14:25,baharst28,"Banyak tong. Bahkan lbh baik. Siapa? Buka matamu! Itu cm gimmick akal2an kaum togog yg pengin nambah periode. Utang menggunung, ekonomi amburadul, tdl listrik, bbm, cukai/pajak, sembako dll dinaik2kan. Begitu kok mau tambah periode?!Mikir !🤪 #TolakPenundaanPemilu #Tolak3Periode"
2022-04-05 18:06:32,bersihkan_indo,"Jokowi klaim, usulan 3 periode dari masyarakat. Masyarakat yang mana nih?  #tolakPenundaanPemilu  #Tolak3Periode  https://t.co/Szvrd1v3wq"
2022-04-05 16:18:46,ki_cakrasurya,"Istana ndableg, kita tetap demo.....  #tolakPenundaanPemilu   #TigaPeriodeNdasmu"
2022-04-05 13:33:17,yadiesa_mpf,@hipohan Reformasi jilid II menanti.... #2024Gantian  #Tolak3Periode  #tolakPenundaanPemilu  #MahasiswaMelawan  #MahasiswaBergerak
2022-04-05 13:21:19,baharst28,Maju terus mhsiswa seluruh RI bersama rakyat ! Panjang umur Perjuangan !! #Tolak3Periode #tolakPenundaanPemilu  #TolakIKN yg ugal2an #PulihkanEkonomi #JanganBebankanUtangNegaraKepadaRakyat #PulihkanKetersediaanHargaSembako  @aliansibem_si @BEM_SI @BEMUI_Official @fnn @tempodotco  https://t.co/vARfsR7DL0
2022-04-05 13:12:03,ki_cakrasurya,"@NephiLaxmus Ormas dan dukungan abal2 masih akan ada lagi, LBP, Moeldoko, BG masih akan mengerahkan begundalnya... Kita lawan!!!  #tolakPenundaanPemilu"
2022-04-05 10:35:54,choymarkochoy,Semakin dahsyat untuk mencapai nafsu kekuasaan #tolakPenundaanPemilu
2022-04-05 08:26:42,HariyantoStmm,Adik2 mahasiswa bergerak lagi ajak masyarakat Demo 11 April. #tolakPenundaanPemilu  https://t.co/X3KGb1IVgI
2022-04-05 08:06:38,AniRukmini,#tolakPenundaanPemilu  #Tolak3Periode
2022-04-05 04:04:27,AzwarAn14582192,@geloraco Bila perlu gandeng jokowi untuk pulang  #MahasiswaMelawan  #Tolak3Periode  #tolakPenundaanPemilu
2022-04-04 21:55:15,AzwarAn14582192,@muchlis_ar @dimerapi Malas liat muka jokowi  #Tolak3Periode  #tolakPenundaanPemilu
2022-04-04 21:49:23,AzwarAn14582192,@Micke03240524 Maju terus mahasiswa.. rakyat bersamamu   #MahasiswaMelawan  #Tolak3Periode  #tolaktundapemilu  #tolakPenundaanPemilu
2022-04-04 21:46:59,AzwarAn14582192,Asal jangan jafi aktivis nasi bungkus saja mahasiswa  #MahasiswaMelawan  #Tolak3Periode  #tolaktundapemilu  #tolakPenundaanPemilu  https://t.co/YjOfHsnWI4
2022-04-04 18:08:24,AMSiCare,"Selamat berbuka puasa sob...,  Kalau gak ada 2 pisang, 2 jagung pun ok. #AMSi #Puasa3 #tolakPenundaanPemilu #Tolak3Periode  https://t.co/0Q35gPl8jC"
2022-04-04 17:48:59,wawangu88797331,Yang menerimanya aja gak jelas...masa orang yg punya mobil masih dapat BLT..peluang korupsi kecil kecilan justru ada disini....#tolakPenundaanPemilu
2022-04-04 17:48:48,KardusImajinasi,"@zarazettirazr Dikuasi Rakyat atau dikuasai China?. Waspada jebakan Hutang Luar Negeri.  #Tolak3Periode #TolakPenundaanPemilu #TolakUUIKN  Cc. @msaid_didu ,@Nicho_Silalahi , @MprAldo   Berita Mei 2021  https://t.co/RCL1DpZy4V"
2022-04-04 17:46:39,UmaAyashii_,"Semangat puasanya ya, h-27 lebaran nih. Mari tingkatkan amal, perbanyak ibadah, kencangkan sedekahnya ya.  #RamadanMubarak #BusinessProposalEp11 #Paragon #wardah #HerryWirawan #tolakPenundaanPemilu #TAEHYUNG  https://t.co/UM46kTvdd9"
2022-04-04 17:45:44,Riez_1,"@CNNIndonesia Menteri segala urusan, semua elu yang Ngatur, apa negeri ini todak memiliki Pemimpin yang adil dan bijaksana ,?  Bubarkan saja Rezim ini #tolakPenundaanPemilu  #TolakBoosterSyaratMudik  #Tolak3Periode  #TolakPenundaanPemilu2024  #TigaPeriodeNdasmu"
2022-04-04 17:29:08,cebongsonto,#TolakTegasPenundaanPemilu  #tolakPenundaanPemilu
2022-04-04 17:27:53,RtM3volusion,#TolakPenundaanPemilu2024  #tolakPenundaanPemilu
2022-04-04 17:19:24,rizkyalsyh,"Apabila terjadi atau lolos di amandemen tentang 3 periode, jelas mereka itu pengkhianat rakyat   ingat semua ada pertanggung jawabannya, ada dharma dan karma!  #TolakPenundaanPemilu #Tolak3Periode"
2022-04-04 14:51:32,Wahyudi48632434,@Lelaki_5uny1 Ikutan bang RH ahhh...!!😎😎😎 Yukk gaspolll...  #tolakPenundaanPemilu  #TolakJokowi3Periode #TolakJokowiPrabowoFor2024
2022-04-04 14:43:44,PKSDKIJakarta,"Ketika dilakukan perpanjangan masa jabatan presiden pasti merugikan demokrasi sebab konstitusi kita hari ini adalah amanah rakyat, jangan pernah khianati amanah itu.  @PKSejahtera  #newsflash #PKSPelayanRakyat #PKS #pksdkijakarta #tolakpenundaanpemilu  https://t.co/2ZMBJjiwfN"
2022-04-04 13:38:20,Pakamkalam,"Mau bangun fasilitas istana, tp rakyat disuruh donasi. Kembali spt jaman kerajaan baheula, rakyat sbg objek disuruh bangun istana #tolakPenundaanPemilu  #tolakPenundaanPemilu"
2022-04-04 13:00:10,ocehan_of,#tolakPenundaanPemilu
2022-04-04 12:58:54,juvelinealdi,"Lah iki pie maszee @bengkeldodo ? Brarti acara yg kemarin di datengin pak presiden, abal2 dong? APDESI yg ada si AA trnyata aspal alias bodong wkwkwkwk..  #3periodendasmu #tolakPenundaanPemilu #Tolak3Periode #LaNyalla #APDESI"
2022-04-04 12:57:18,AzwarAn14582192,Fir'aun junior  #Tolak3Periode  #tolakPenundaanPemilu
2022-04-04 12:49:39,lanyallacenter_,"Temui LaNyalla, APDESI Tolak 3 Periode Jabatan Presiden Karena Langgar Konstitusi. #LaNyalla #APDESI #kepaladesa #tolakPenundaanPemilu #Tolak3Periode  baca selengkapnya:  https://t.co/SLUiquTpjN  https://t.co/U9CK7ZLvgv"
2022-04-04 12:48:36,HidayatNatari,"Di negara lain presidennya itu manusia, kalau di negara ini presidennya Boneka. #tolakPenundaanPemilu"
2022-04-04 12:47:05,fai_bigheart,#tolakPenundaanPemilu #Tolak3Periode  Coba yg berkompeten beri analisa dari dari screen shot terlampir  https://t.co/7aZZrMgL1D
2022-04-04 06:11:54,Andi_23soul,"Dipaksa untuk melawan konstitusi,sekelas lembaga survey pun berani mengambil kesempatan demi sebuah ambisi.. Hebat!!! #Tolak3Periode  #tolakPenundaanPemilu  #demokratJakartaTerusBergerak"
2022-04-04 05:49:15,Alivia78274464,@KimD0n4t Gitu masih dengan bangganya mau nangkring berkuasa hingga 3 priode  Stop sudah cukup penderitaan rakyat hanya karena muka ndeso mu  #TolakPenundaanPemilu  #TolakPenundaanPemilu
2022-04-04 05:39:37,Alivia78274464,@akunkelima212 Up  #TolakPenundaanPemilu  #TolakPenundaanPemilu
2022-04-04 04:54:31,yusrilazwd,#tolakPenundaanPemilu #Tolak3Periode
2022-04-04 04:31:11,emprosay,@ikofurqonmas Sudah imsak..😅 #Tolak3Periode  #tolakPenundaanPemilu  #TolakAmandemenKe5
2022-04-04 04:31:11,AdhizBuana,#TolakPenundaanPemilu #Tolak3Periode  #LuhutDalangMakarKonstitusi  https://t.co/9zIrcI92Sd
2022-04-04 03:58:50,ikofurqonmas,@emprosay Jelang imsak.. #Tolak3Periode  #tolakPenundaanPemilu  #TolakAmandemenKe5
2022-04-04 00:39:12,kaulahimpianku,Cc @fadlizon @MardaniAliSera @Fahrihamzah @fahiraidris @msaid_didu @sudirmansaid @RamliRizal @AnthonyBudiawan @tvOneNews @narasitv @NajwaShihab @KompasTV @BEMUI_Official  Pasti @jokowi dan @PDI_Perjuangan benci sekali sama orang ini. #TolakPenundaanPemilu  #TolakJokowi3Periode
2022-04-03 23:13:59,bungzulzaman,"Setelah melihat banyaknya permintaan Jokowi Mundur dari berbagai elemen Masyarakat,maka wacana Tiga Periode sepertinya hanya MIMPI bagi mereka yg saat ini sedang bermanuver.  #tolakPenundaanPemilu  https://t.co/U5Z0WSdCro"
2022-04-03 22:57:35,bengkeldodo,Big Data: Kecenderungan ketidaksukaan terhadap deklarasi Jokowi 3 periode cenderung naik  #Tolak3Periode #tolakPenundaanPemilu #bigdata #evello    https://t.co/Nieeeu7g01
2022-04-03 22:41:00,DadangRusian,""" Penjilat Penjilat Kekuasaan ""  Pak @Fahrihamzah 👍👍👍 #Tolak3Periode  #TolakPenundaanPemilu  https://t.co/3IxtuqJQlT"
2022-04-03 22:36:02,hendra_roestoe,Negara Kalah oleh Sekelas Mafia Migor..!!!   #TolakPenundaanPemilu #Tolak3Periode
2022-04-03 22:04:01,emprosay,@ikofurqonmas Sambil ngopi #Tolak3Periode  #tolakPenundaanPemilu  #TolakAmandemenKe5
2022-04-03 22:03:04,ikofurqonmas,@emprosay Mainkan Jemarimu.. #Tolak3Periode  #tolakPenundaanPemilu  #TolakAmandemenKe5
2022-04-03 21:56:13,emprosay,@ikofurqonmas Asik kembali ke seharusnya #Tolak3Periode  #tolakPenundaanPemilu  #TolakAmandemenKe5
2022-04-03 21:54:40,ikofurqonmas,@emprosay Alhamdulillah barusan juga shafnya rapat dan mesjid juga penuh...  #Tolak3Periode  #tolakPenundaanPemilu
2022-04-03 21:42:41,SitiAlifaZ,"LaNyalla menyebut, jika skor potensi kemarahan publik ini terus meningkat, tidak tertutup kemungkinan aksi turun ke jalan akan meluas.   #LaNyalla #Tolak3Periode #tolakPenundaanPemilu"
2022-04-03 21:41:10,SitiAlifaZ,Ia juga menyampaikan bahwa ada potensi peningkatan kemarahan publik soal deklarasi Jokowi 3 periode.   #LaNyalla #Tolak3Periode #tolakPenundaanPemilu
2022-04-03 21:39:03,SitiAlifaZ,"LaNyalla juga mengingatkan, berdasarkan analisa Big Data yang dimiliki, kecenderungan masyarakat senang dengan deklarasi Jokowi 3 periode turun dari 28% menjadi 23%.   #LaNyalla #Tolak3Periode #tolakPenundaanPemilu"
2022-04-03 21:37:40,SitiAlifaZ,"Ingatkan Luhut, LaNyalla: Penundaan Pemilu dan Presiden 3 Periode akan Picu Kemarahan Publik  #LaNyalla #Tolak3Periode #tolakPenundaanPemilu  https://t.co/McCK3NDzg2"
2022-04-03 21:24:38,baharst28,Nah ini baru mhsiswa yg peduli bangsa dan negara...👍✊👍 Ayo maju terus dan bergerak..!! Lawan kezholiman dan sewenang2 !! #tolakPenundaanPemilu  #Tolak3Periode  #TolakIKNbaru. @aliansibem_si @BEM_SI  @fnncoid @tempodotco @geloraco @keuangannews_id  @VIVAcoid @tvOneNews
2022-04-03 21:16:56,emprosay,Alhamdulillah dimasjid istiqlal shaf sdh rapat di mesjid2 disini juga sdh rapat. Rapatkan barisan #Tolak3Periode  #tolakPenundaanPemilu  https://t.co/sBV6E8gCAz
2022-04-03 21:14:18,alpin_hrp,Bila terus di gembar-gembor kan bisa jadi pertumpahan akan terjadi!!!   Jangan karena arogansi sejarah tragis akan terulang kembali!   #hidupmahasiswa #hiduprakyat #tolakPenundaanPemilu #Tolak3Periode #MahasiswaMelawan   https://t.co/FiPnBNQ38b
2022-04-03 20:45:54,Lovesneversimp1,#tolakPenundaanPemilu  #tolakPenundaanPemilu
2022-04-03 19:22:52,ZAEffendy,"Opung jangan ribut, ini suara daerah, tanpa rekayasa... #Tolak3Periode 💪 #TolakPenundaanPemilu #Nalar !!"
2022-04-03 19:13:01,TamongPanji,@Cozilar_Cup @tvOneNews @jokowi Keknya lagi mikirin tunda pemilu tapi rakyat #tolakPenundaanPemilu karena Melanggar Konstitusi.  Apalagi suara parpol di @DPR_RI @mprgoid @DPDRI serentak #tolakPenundaanPemilu  Mau 3 periode? 2 periode aja Gagal.
2022-04-03 17:08:31,sarahzahra23,#tolakPenundaanPemilu  #Tolak3Periode  #3periodendasmu  #LaNyalla
2022-04-03 16:31:43,refrizalskb,#Tolak3Periode  #tolakPenundaanPemilu
2022-04-03 16:00:35,Relawandibopiss,banturetweet Saudaraku Terima Kasih. #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu  #TikTok  https://t.co/RDSYSyNDJt
2022-04-03 14:56:03,putra_guci2,@penikmatko_pi #Tolak3Periode  #tolakpenundaanpemilu
2022-04-03 14:55:55,KiraniLien,#TolakBoosterSyaratMudik  #Tolak3Periode  #TolakPenundaanPemilu  https://t.co/EmtGBn6xTk
2022-04-03 13:47:23,Relawandibopiss,banturetweet Saudaraku Terima Kasih. #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu   #TikTok  https://t.co/N74MXY5hTz
2022-04-03 10:59:21,ErlanDAzis,"@dekuxell_ Pasti mereka akan bilang utang ini sebagai warisan dari pendahulunya. Tetapi, seluruh jalan toll di Indonesia baru mulai dibangun pada periode pertama. Lanjut di periode kedua, dan agar tuntas perlu tambahan satu periode lagi.  🤮 🤮 🤮  #Tolak3Periode  #TolakPenundaanPemilu"
2022-04-03 10:58:43,HariyantoStmm,Saya biasanya bersebrangan dengan bung Ardian Napitupulu dalam banyak hal. Tapi dalam hal ini saya setuju dgn dia.  #Tolak3Periode #tolakPenundaanPemilu
2022-04-03 08:47:02,ZAEffendy,"""Aliansi Mahasiswa Indonesia menuntut Presiden Joko Widodo mengeluarkan pernyataan secara resmi 'menolak penundaan pemilu dan perpanjangan masa jabatan presiden'"" paling lambat hari ini, 3 April. #MahasiswaMelawan  #TolakPenundaanPemilu #Tolak3Periode 💪  https://t.co/5wf4Ws5tmm"
2022-04-03 08:20:29,tiswosolihin6,#tolakPenundaanPemilu
2022-04-03 07:57:36,ErlanDAzis,"@detikcom Setuju bahwa ""demokrasi itu bukan hanya maunya dia"", apalagi sampai ngarang-ngarang #BigDusta untuk melanggengkan kekuasaan.   #Tolak3Periode  #TolakPenundaanPemilu"
2022-04-03 07:10:53,xbilzzzz,"Makin kesni kok makin aneh, yg naik BBM nya yg didemo 3 priode, udh ntar aja fokus ke BBM AJA minyak mahal ngantri panjang yaa malah demo 3 priode, ga mungkin 3 priode udahhh BBM dlu #tolakPenundaanPemilu"
2022-04-03 06:43:21,nrmnrmdhn_,"BEM SI sudah mulai bangun, apakabar BEM NUS dan Cipyung Plus?  #Tolak3Periode #tolakPenundaanPemilu"
2022-04-03 06:42:47,DSekarlangit,Maka kita wajib  #Tolak3Periode  #Tolak3Periode  #tolakPenundaanPemilu  #tolakPenundaanPemilu
2022-04-03 05:02:16,toerdy,#tolakPenundaanPemilu #Tolak3Periode
2022-04-03 04:48:47,reformasijilid2,"Lu mau bela siapa kek gw ga peduli. Tapi gw ingetin aja, siapapun lu, apapun keputusan lu, bagaimana lu mengambil sikap, semua ada pertanggungjawabannya. Ingat, ada dharma dan karma.  #TolakPenundaanPemilu #Tolak3Periode"
2022-04-03 04:38:10,AchmadD12042560,@penikmatko_pi #tolakPenundaanPemilu
2022-04-03 02:28:37,monologsingkatt,"@bengkeldodo @cakimiNOW Kalau partai kompak Jokowi pasri setuju ...   #tolak3periode #LaNyalla #tolakPenundaanPemilu  @DPP_PKB  ingat , rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu .  @LaNyallaMM1   https://t.co/c2FlzfqAdO"
2022-04-03 02:22:35,damarwuIan,"@cakimiNOW  : Kalau partai kompak Jokowi pasri setuju ...   #tolak3periode #LaNyalla #tolakPenundaanPemilu  @DPP_PKB  ingat , rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu .  @LaNyallaMM1   https://t.co/OFSudVMokP"
2022-04-03 02:14:18,LaNyallaAcademy,"@DeeJee_007 @Lord_Dull @RickyBarmans @p4is_b3lut__ @tebisacicing @JackGydanz @Kanseulier @BalihoTentara @rimacahaya66 @GatotDe @taslimandr @Musafir2022 @RatnasiregarS @Lia_kurus2 @SMuksin1 @rnayonice @khoiruumat @UmmiAiny @DeynayourQueen @Armanhifdhi1 @Najm_R13 @cakimiNOW ? : Kalau partai kompak Jokowi pasri setuju ?  #tolak3periode #LaNyalla #konstitusi #spiritlanyalla #tolakPenundaanPemilu  Ingat , rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu .  https://t.co/zpZqUWhZiY"
2022-04-03 02:12:16,LaNyallaAcademy,@DeeJee_007 @conan_idn @al_qassham @wanguna8 @sutanmangarahrp @brandalsantri45 @SangLangit01 @DjumadiDeddy @yashadipura @abiismaeil @DonAdam68 @Wrp73RM @RadenKianSayang @AlbarraBack @nurulngalam1 @kicepkicep @RepublikIni @EmgalibOposisi @ae_kayo @Mamah_Hajar @__Sridiana_3va DPD RI siap jadi palang pintu !!   Bila sidang MPR membahas perpanjangan masa jabatan presiden/3 periode jelas dan tegas seluruh anggota DPD RI akan menolak dan tentunya sidang tsb tidak sah   #LaNyalla #tolakPenundaanPemilu #tolak3periode @LaNyallaMM1    https://t.co/FIVrYxZhq5
2022-04-03 01:57:20,LaNyallaAcademy,@satriohendri DPD RI siap jadi palang pintu !!   Bila sidang MPR membahas perpanjangan masa jabatan presiden/3 periode jelas dan tegas seluruh anggota DPD RI akan menolak dan tentunya sidang tsb tidak sah   #LaNyalla #tolakPenundaanPemilu #tolak3periode @LaNyallaMM1    https://t.co/FIVrYxZhq5
2022-04-03 01:46:02,LaNyallaAcademy,DPD RI siap jadi palang pintu !!   Bila sidang MPR membahas perpanjangan masa jabatan presiden/3 periode jelas dan tegas seluruh anggota DPD RI akan menolak dan tentunya sidang tsb tidak sah   #LaNyalla #tolakPenundaanPemilu #tolak3periode @LaNyallaMM1    https://t.co/FIVrYxZhq5
2022-04-03 01:44:05,LaNyallaAcademy,Bila sidang MPR membahas perpanjangan masa jabatan presiden/3 periode jelas dan tegas seluruh anggota DPD RI akan menolak dan tentunya sidang tidak sah   @Nicho_Silalahi @Jhonkosmik @MbahUyoks  @Tofa_Tofa_Tofa @RagilSemar #LaNyalla #tolakPenundaanPemilu  https://t.co/FIVrYxZhq5
2022-04-03 01:40:07,LaNyallaAcademy,Bila sidang MPR membahas perpanjangan masa jabatan presiden/3 periode jelas dan tegas seluruh anggota DPD RI akan menolak dan tentunya sidang tsb tidak sah   @IstanaLurah @KING__VADUKA @HukumDan @Hasbil_Lbs @RamliRizal @fadlizon @msaid_didu @Android_AK_47   #tolakPenundaanPemilu  https://t.co/FIVrYxZhq5
2022-04-03 01:22:06,LaNyallaAcademy,"@cakimiNOW : Kalau partai kompak Jokowi pasti setuju  #tolak3periode #LaNyalla #tolakPenundaanPemilu  Ingat , rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu @dpp_pkb   @LaNyallaMM1  https://t.co/zpZqUWhZiY"
2022-04-03 01:00:48,LaNyallaAcademy,"@cakimiNOW : Kalau partai kompak Jokowi pasri setuju ...   #tolak3periode #LaNyalla #konstitusi #spiritlanyalla #tolakPenundaanPemilu  @DPP_PKB ingat , rakyat adalah pemilik sah bangsa ini jangan anda kira milik ketua umum parpol yang mendukung penundaan pemilu .  @LaNyallaMM1  https://t.co/zpZqUWhZiY"
2022-04-03 00:13:24,BoniCekrik,#Tolakpenundaanpemilu #TolakPresiden3periode    https://t.co/qC48TuhMr9
2022-04-02 22:42:13,damarwuIan,"Temu Kangen dengan Aktivis Senior Mudrick Setiawan, Ketua DPD RI Bahas Situasi Kebangsaan  #temukangen #tolak3periode #tolakpenundaanpemilu #lanyalla #dpdri #mudrick #aktivis    https://t.co/keU8N9LxpH  https://t.co/hPL7iWUj8p"
2022-04-02 21:23:59,putra_guci2,@DonAdam68 @jokowi  #tolakpenundaanpemilu
2022-04-02 20:13:22,cisa_official,#jokowi3periode #apdesi #Tolak3Periode #tolakPenundaanPemilu #PemiluSerentak2024  https://t.co/MWnoGlJSFM
2022-04-02 20:05:09,Relawandibopiss,banturetweet Saudaraku Terima Kasih. #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu Lihat video Dibo Piss Media! #TikTok  https://t.co/JqTNKub7hU
2022-04-02 20:04:21,Relawandibopiss,banturetweet Saudaraku Terima Kasih. #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu Lihat video Dibo Piss Media! #TikTok  https://t.co/GSz1osxcTU
2022-04-02 17:58:14,WSulchan,Mahasiswa sedang apa? Apa yang mereka tuntut? Apakah sama dengan yang rakyat mau? #tolakPenundaanPemilu? #Tolak3Periode? #2024Gantian?
2022-04-02 17:33:10,soso78392076,"Ayo gerudug DPR  Tolak presden 3 periode, penundaan pemilu adalah akal akalan penguasa yang ingin melanggengkan oligarki.  #TolakPresiden3Periode #TolakPenundaanPemilu #TolakJokowi3Periode  https://t.co/odPYqYa11v"
2022-04-02 16:32:48,hannypurwanto,@msaid_didu Hayang ngarawu ku siku #tolakPenundaanPemilu
2022-04-02 16:18:25,Relawandibopiss,banturetweet Saudaraku Terima Kasih. #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu  Lihat video Dibo Piss Media! #TikTok  https://t.co/XQqxkUDvEt
2022-04-02 15:51:15,Relawandibopiss,#banturetweet Saudaraku Terima Kasih.  https://t.co/NLrfVQ1DHG #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu  Lihat video Dibo Piss Media! #TikTok  https://t.co/c9vwrN8glI
2022-04-02 15:34:05,PutriAlfiah15,Untuk Di Simak 😊  #Tolak3Periode  #tolakPenundaanPemilu  https://t.co/8yzepYfDKI
2022-04-02 13:29:02,bengkeldodo,"Meskipun demikian, kecenderungan ketidaksukaan terhadap deklarasi Jokowi 3 periode cenderung naik. Ada bibit perlawanan yang tumbuh karena berkembangnya pandangan pelanggaran konstitusi untuk menunda pemilu 2024.   #tolakPenundaanPemilu #Tolak3Periode   #evello"
2022-04-02 12:56:25,Relawandibopiss,#banturetweet Saudaraku Terima Kasih.  https://t.co/NLrfVQ1DHG #2024gantian..#tolak3periode  #tolaktundapemilu  #tolakpenundaanpemilu  Lihat video Dibo Piss Media! #TikTok  https://t.co/12FLkM06YI
2022-04-02 12:08:57,mamat_sura,@b3masterpi3ce @BEMUI_Official #tolakPenundaanPemilu #tolakPenundaanPemilu
2022-04-02 11:33:45,MissEvaaja,"@PrilHuseno Salam perjuangan, jgn kendor dan jgn mau di amplopin, serta jgn gentar walaupun di ancam. #tolakPenundaanPemilu  #Tolak3Periode  #MahasiswaMelawan"
2022-04-02 10:53:56,DadangRusian,Fenomena Langka ...  Adian Napitupulu semprot Ngabalin  Gitu dong sesekali mikirin Rakyat.. Kali ini aku YESS ama Adian 👍😊  #TolakBoosterSyaratMudik  #Tolak3Periode  #TolakPenundaanPemilu  https://t.co/HNt6zw4y5Q
2022-04-02 09:58:28,DadangRusian,Tetap WASPADA !!!  Ancaman Komunis Selalu Ada .  SEJARAH ITU HARUS DICERITAKAN  Prof Salim Haji Said  #TolakBoosterSyaratMudik  #Tolak3Periode  #TolakPenundaanPemilu  https://t.co/KFv9PExX91
2022-04-02 09:38:32,ZAEffendy,Pernyataan Aksi Demo Jumat 1 April 2022 di Jakarta #MahasiswaMelawan #Tolak3Periode 💪 #TolakPenundaanPemilu   https://t.co/84zaUpdLeN
2022-04-02 09:35:18,ZAEffendy,"Aksi Demo Jumat, 1 April 2022 di Jakarta #MahasiswaMelawan  #Tolak3Periode #TolakPenundaanPemilu  THREAD ... BEM UI live report 💪  https://t.co/6ZB7elWJ8O"
2022-04-02 09:31:25,elHarist,"Lebaran ga kebeli baju baru gpp, asal pemilu dipercepat... #tolakPenundaanPemilu #WajibLengserkanJokowi  . . . . . Lanjutkeun..."
2022-04-02 09:30:20,ZAEffendy,"Jumat, 1 April 2022 di Jakarta  Aksi Demo #MahasiswaMelawan 💪 #Tolak3Periode #TolakPenundaanPemilu   https://t.co/EG9i8eqAt9"
2022-04-02 09:27:35,ZAEffendy,"Jumat, 1 April 2022 Aksi Demo di Jakarta #MahasiswaMelawan 💪 #Tolak3Periode #TolakPenundaanPemilu   https://t.co/mkmNPJh9QA"
2022-04-02 09:23:46,ZAEffendy,"Kemarin Jumat, 1 April 2022 kembali #MahasiswaMelawan, dimotori oleh BEM UI &amp; BEM Trisakti ... Aksi demo #Tolak3Periode 💪 #TolakPenundaanPemilu  https://t.co/UoQbXepHhy"
2022-04-02 08:20:45,Benalumati,@m1n4_95 Pantesan getol banget mempertahankan 3 periode. Takut masuk penjara rupanya. #Tolak3Periode  #tolakPenundaanPemilu
2022-04-02 05:51:43,Pakamkalam,"@MprAldo @AbdlJbrl Mau shaum Sabtu atau Ahad tdk jadi masalah, yg penting Anda shaum. Dan jangan lupa agenda:  #tolakPenundaanPemilu #tolakPenundaanPemilu #Tolak3Periode #Tolak3Periode"
2022-04-02 05:50:02,moleriz,#tolakPenundaanPemilu  #Tolak3Periode
2022-04-02 04:51:57,IwanSentani,"Ngurus hal receh ora gableg, ngotot mau berkuasa 3periode.   #tolakPenundaanPemilu"
2022-04-02 04:22:35,AdhizBuana,😵🥴😲 #Tolak3Periode  #tolakPenundaanPemilu  #TolakBoosterSyaratMudik
