Label;tweet
Netral;Apa dia ngerti ? #PemiluSerentak2024 #TolakTegasPenundaanPemilu  #tolakPenundaanPemilu
Netral;#TolakTegasPenundaanPemilu  #tolakPenundaanPemilu
Negatif;Suara Sumbang ancam Konstitusi, Marwah Desa diinjak-injak sendiri oleh para Kepala Desanya.  Warga Desa sebagai pemegang kedaulatan Desa, perlu bersuara.   Sikap mereka yg berpegang teguh pada konstitusi jadi kabar baik bagi masa depan bangsa.  #TolakPenundaanPemilu #tirakat2022
Negatif;Banyak tong. Bahkan lbh baik. Siapa? Buka matamu! Itu cm gimmick akal2an kaum togog yg pengin nambah periode. Utang menggunung, ekonomi amburadul, tdl listrik, bbm, cukai/pajak, sembako dll dinaik2kan. Begitu kok mau tambah periode?!Mikir !🤪 #TolakPenundaanPemilu #Tolak3Periode
Negatif;Jokowi klaim, usulan 3 periode dari masyarakat. Masyarakat yang mana nih?  #tolakPenundaanPemilu  #Tolak3Periode  https://t.co/Szvrd1v3wq
Negatif;Istana ndableg, kita tetap demo.....  #tolakPenundaanPemilu   #TigaPeriodeNdasmu
Positif;@hipohan Reformasi jilid II menanti.... #2024Gantian  #Tolak3Periode  #tolakPenundaanPemilu  #MahasiswaMelawan  #MahasiswaBergerak
Positif;Maju terus mhsiswa seluruh RI bersama rakyat ! Panjang umur Perjuangan !! #Tolak3Periode #tolakPenundaanPemilu  #TolakIKN yg ugal2an #PulihkanEkonomi #JanganBebankanUtangNegaraKepadaRakyat #PulihkanKetersediaanHargaSembako  @aliansibem_si @BEM_SI @BEMUI_Official @fnn @tempodotco  https://t.co/vARfsR7DL0
Negatif;@NephiLaxmus Ormas dan dukungan abal2 masih akan ada lagi, LBP, Moeldoko, BG masih akan mengerahkan begundalnya... Kita lawan!!!  #tolakPenundaanPemilu
Negatif;Semakin dahsyat untuk mencapai nafsu kekuasaan #tolakPenundaanPemilu
Positif;Adik2 mahasiswa bergerak lagi ajak masyarakat Demo 11 April. #tolakPenundaanPemilu  https://t.co/X3KGb1IVgI
Netral;#tolakPenundaanPemilu  #Tolak3Periode
Negatif;@geloraco Bila perlu gandeng jokowi untuk pulang  #MahasiswaMelawan  #Tolak3Periode  #tolakPenundaanPemilu
Negatif;@muchlis_ar @dimerapi Malas liat muka jokowi  #Tolak3Periode  #tolakPenundaanPemilu
Positif;@Micke03240524 Maju terus mahasiswa.. rakyat bersamamu   #MahasiswaMelawan  #Tolak3Periode  #tolaktundapemilu  #tolakPenundaanPemilu
Positif;Asal jangan jafi aktivis nasi bungkus saja mahasiswa  #MahasiswaMelawan  #Tolak3Periode  #tolaktundapemilu  #tolakPenundaanPemilu  https://t.co/YjOfHsnWI4
Netral;Selamat berbuka puasa sob...,  Kalau gak ada 2 pisang, 2 jagung pun ok. #AMSi #Puasa3 #tolakPenundaanPemilu #Tolak3Periode  https://t.co/0Q35gPl8jC
Negatif;Yang menerimanya aja gak jelas...masa orang yg punya mobil masih dapat BLT..peluang korupsi kecil kecilan justru ada disini....#tolakPenundaanPemilu
Negatif;@zarazettirazr Dikuasi Rakyat atau dikuasai China?. Waspada jebakan Hutang Luar Negeri.  #Tolak3Periode #TolakPenundaanPemilu #TolakUUIKN  Cc. @msaid_didu ,@Nicho_Silalahi , @MprAldo   Berita Mei 2021  https://t.co/RCL1DpZy4V
Netral;Semangat puasanya ya, h-27 lebaran nih. Mari tingkatkan amal, perbanyak ibadah, kencangkan sedekahnya ya.  #RamadanMubarak #BusinessProposalEp11 #Paragon #wardah #HerryWirawan #tolakPenundaanPemilu #TAEHYUNG  https://t.co/UM46kTvdd9
Negatif;@CNNIndonesia Menteri segala urusan, semua elu yang Ngatur, apa negeri ini todak memiliki Pemimpin yang adil dan bijaksana ,?  Bubarkan saja Rezim ini #tolakPenundaanPemilu  #TolakBoosterSyaratMudik  #Tolak3Periode  #TolakPenundaanPemilu2024  #TigaPeriodeNdasmu
Netral;#TolakTegasPenundaanPemilu  #tolakPenundaanPemilu
Netral;#TolakPenundaanPemilu2024  #tolakPenundaanPemilu
Negatif;Apabila terjadi atau lolos di amandemen tentang 3 periode, jelas mereka itu pengkhianat rakyat   ingat semua ada pertanggung jawabannya, ada dharma dan karma!  #TolakPenundaanPemilu #Tolak3Periode
Positif;@Lelaki_5uny1 Ikutan bang RH ahhh...!!😎😎😎 Yukk gaspolll...  #tolakPenundaanPemilu  #TolakJokowi3Periode #TolakJokowiPrabowoFor2024
Positif;Ketika dilakukan perpanjangan masa jabatan presiden pasti merugikan demokrasi sebab konstitusi kita hari ini adalah amanah rakyat, jangan pernah khianati amanah itu.  @PKSejahtera  #newsflash #PKSPelayanRakyat #PKS #pksdkijakarta #tolakpenundaanpemilu  https://t.co/2ZMBJjiwfN
Negatif;Mau bangun fasilitas istana, tp rakyat disuruh donasi. Kembali spt jaman kerajaan baheula, rakyat sbg objek disuruh bangun istana #tolakPenundaanPemilu  #tolakPenundaanPemilu
Netral;#tolakPenundaanPemilu
Negatif;Lah iki pie maszee @bengkeldodo ? Brarti acara yg kemarin di datengin pak presiden, abal2 dong? APDESI yg ada si AA trnyata aspal alias bodong wkwkwkwk..  #3periodendasmu #tolakPenundaanPemilu #Tolak3Periode #LaNyalla #APDESI
Negatif;Fir'aun junior  #Tolak3Periode  #tolakPenundaanPemilu
Positif;Temui LaNyalla, APDESI Tolak 3 Periode Jabatan Presiden Karena Langgar Konstitusi. #LaNyalla #APDESI #kepaladesa #tolakPenundaanPemilu #Tolak3Periode  baca selengkapnya:  https://t.co/SLUiquTpjN  https://t.co/U9CK7ZLvgv
Negatif;Di negara lain presidennya itu manusia, kalau di negara ini presidennya Boneka. #tolakPenundaanPemilu
